ResponseId,age,gender,driving_experience,av_experience,comfort_with_automation,trust_score,rank_1,rank_2,rank_3,why_ranked,trust_explanation,control_buttons,final_feedback
R_8x0jwlnM2fgjd9D,25,1,4,1,3,4.583333333333333,1,2,3,"aural explanations help trusting the vehicle by giving a prediction of its actions, buttons gives human control to feel more humaine and trustworthy ",helped me to predict what the car will do and to rely on it ,"felt easier to experience the self-driving, gave control to me if there was unexpected event ","stressful experience, aural explanations helped with feeling uneven "
R_2Jjg3lGLOE80snf,28,0,2,0,4,5.75,2,1,3,"In version 2, I felt like I had to keep an eye on the road and also 'help' the system. Even though version 1 didn't have buttons, I felt a little more comfortable because I assumed that the car would have been properly tested before hitting the streets. The explanations on version 3 are a nice to have. It gives reassurance without the need for me to press buttons.
",It gave me reassurance that it sees what is happening,"Neutral because even there were only 2 buttons, they were performing 4 functions which was a little confusing",Something I missed was the car indicating the direction it would go to. It's quite important on the road
R_2F3avXVwqRbdZWk,36,1,5,1,5,5.083333333333333,1,2,3,I prefer to know what the vehicle is going to do,More trust in the system used for the first time,Not so comfortable or intuitive,The lateral control was quite dizzy and makes my trust low
R_8aQPykCIrkN1rkQ,25,0,3,0,2,5.083333333333333,2,1,3,Buttons only create unreliability for responses. The car could be already stopping and you could unknowingly cause a crash like I did. If there is no explanation I would prefer to have to trust the car.,"They made me trust the vehicle more, as I could potentially spot any mistakes, even if it didnt make any. At the same time, if I really trusted the vehicle I would not need any explanations.","During the first trial with the control buttons things were pretty confusing. During the second one, where the car's intentions were visible, things made a little more sense.","I personally believe that the buttons introduce a weird middle ground between trust and accountability. If the car is really better at driving that humans, then real trust would imply never needing to interfere with the car's actions.  "
R_2r16cF1wtgTa4l8,18,0,3,0,5,3.4166666666666665,3,2,1,"First version i had to adapt, so i didnt really focus. version 2 felt better then version 3. version 3 had moments when it didnt explain, but i felt like sometimes it drove to close to the curf/car.",it gave me more trust.,going against my instincts. (both slow down),perhaps a trial zero for people who never did vr before.
R_82yV6n7Hwnh8D2e,26,1,2,0,2,2.75,3,2,1,"Because when you did not have any control over the car, it didn't matter what you felt or did where as when I had explanations and could control the buttons the buttons felt counterintuative from the previous experiences. ",It made me trust the vehicle less because it didn't always stop or break fast enough for the situation. ,"The stop/don't stop button did not work properly in the previous simulations, meaning that when i pressed it before it would only stop and never not stop. The one time I needed a hard/quick stop it didn't stop, it just kept going and so I crashed. ","The driving experience was relatively nice, a bit slow and not very natural but overall I could trust the car for the basic driving needs. "
R_240i1i4hXpWXZjr,24,0,5,0,4,4.75,1,2,3,"The voice helped ease the transition between stages the car is going through
","Explaining, added a layer of understanding and made me less wary","Easy to manage, after the first trials",Sound would make this more immersive and might change the outcomes but it was still engaging.
R_8TGfu6L1KP6Du3V,33,0,4,0,5,4.583333333333333,1,2,3,"While the car didnt generate distrust allowing me to override the decision made it more comfortable, and also I was more aquainted with the experience by the third trial",The explanations helped to increase trust given that it allows for me to make the final judgement if I want to accept the decision or not.,"I think it was good, after understanding that the left one is more like a ""go slower for a bit"" button it became better.","Very relaxing, although the first one was a bit uncomfortable given that I was still getting aquainted with the experience and had no control over it."
R_21idYiYyo38laOJ,25,1,4,0,3,5.083333333333333,1,2,3,I prefer it when I have some level of control,make me trust car's reactions ,I liked it cause it gave me more control,it was a fun experience
R_2S1ftlbVSMEaaCa,22,1,4,0,4,5.083333333333333,1,2,3,"I assigned the version three as the most comfortable one because it was generally more comfortable when I knew what actions to expect from the car, and it felt most comfortable when I was able to control its actions.","Because I knew what the next action of the car was, so it made me more comfortable.",The controls were helpful,The experience was fun and interesting. 
R_8kidpk1vpAV0VcI,25,0,4,0,3,6.0,1,2,3,"version 1 made me feel a bit unsafe not knowing what the actions will be or having no control, version 2 made me feel more comfortable since i had control of the vehicle, version 3, at this point the vehicle gained my full trust since it showed me it is reliable and it also showed me its intentions",It influenced my trust since the vehicle did exactly what the explanation said,got a bit confused at first but after 1-2 tries i was very comfortable with the buttons,maybe next time some people can jump in the road out of nowhere so we can see the vehicles reaction
